INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
AOI ESTEC 2024-COMUNAS 1-5;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Interventoría;2024;3306-167;05 CASTILLA;Interventoría;En ejecución;;165;;;165;;; $ 551.548.950 ;;; $ 551.548.950 ;;;; $ 551.548.950 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;CLAUDIA ANDREA BORREGO GARCÍA;CESAR AUGUSTO TORRES REAL;
FERNANDO JOSE SANCHEZ PARDO;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3306-172;;Interventoría;En ejecución;23/07/2024;135;;;135;04/12/2024;2,00; $ 597.383.529 ;;; $ 597.383.529 ;;;; $ 597.383.529 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
EJECUCIÓN DE OBRAS DE REPARACIONES LOCATIVAS EN EL ESTADIO ATANASIO GIRARDOT;ALCALDÍA;36527-2024;;;2024;3306-180;;Obra;En ejecución;05/07/2024;40;10;;50;23/08/2024;0,00; $ 230.758.710 ;;; $ 230.758.710 ;;;; $ 230.758.710 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;DIEGO FERNANDO DURÁN;JORGE ANDRÉS OSORIO AGUILAR;
LOS CASTORES CONSTRUCTORES S.A.S;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-229;;Interventoría;En ejecución;20/08/2024;105;;;105;02/12/2024;0,00; $ 474.359.978 ;;; $ 474.359.978 ;;;; $ 474.359.978 ; $ 227.226.337 ;;;; $ 227.226.337 ;;47,90%;; $ - ;; $ - ;0,00%;;;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INTERVENTORIA COMUNA 8 - GRUPO 1 Y 2;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-230;08 VILLA HERMOSA;Interventoría;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 664.159.846 ;;; $ 664.159.846 ;;;; $ 664.159.846 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JOSE GILMER TAMARA;CARLOS ESAU VANEGAS GOMEZ;
FORTICO INGENIERIA SAS-COMUNA 9;ALCALDÍA;95806-2022;Educación - Vigencias futuras;Generales;2024;3306-238;09 BUENOS AIRES;Interventoría;Sin acta de inicio;;105;;;105;;; $ 337.175.094 ;;; $ 337.175.094 ;;;; $ 337.175.094 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INTERVENTORÍA MANTENIMIENTO  GENERALES COMUNA 3;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3306-239;03 MANRIQUE;Interventoría;En ejecución;04/09/2024;165;;;165;15/02/2025;75,00; $ 569.415.893 ;;; $ 569.415.893 ;;;; $ 569.415.893 ;;;;; $ - ;;0,00%;38,79%; $ 220.876.425 ;38,79%; $ 220.876.425 ;0,00%;38,79%;38,79%;0,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
INTERVENTORIA COMUNA 6;ALCALDÍA;;;Generales;2024;3306-240;06 DOCE DE OCTUBRE;Interventoría;Sin acta de inicio;;135;;;135;;; $ 421.106.895 ;;; $ 421.106.895 ;;;; $ 421.106.895 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JOSE GILMER TAMARA;ANA MARÍA SÁCHICA PÉREZ;
INTERVENTORIA COMUNA 15-80;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-241;15 GUAYABAL;Interventoría;En ejecución;12/09/2024;135;;;135;24/01/2025;53,00; $ 508.289.691 ;;; $ 508.289.691 ;;;; $ 508.289.691 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
INTERVENTORÍA COMUNA 16;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-245;16 BELÉN;Interventoría;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 513.017.717 ;;; $ 513.017.717 ;;;; $ 513.017.717 ;;;;; $ - ;;0,00%;41,00%; $ 210.337.264 ;14,00%; $ 71.822.480 ;-27,00%;40,36%;14,57%;-25,79%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
INTERVENTORIA COMUNA 1 - GRUPO 1 Y 2;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-262;01 POPULAR;Interventoría;En ejecución;23/09/2024;195;;;195;05/04/2025;124,00; $ 913.816.363 ;;; $ 913.816.363 ;;;; $ 913.816.363 ;;;;; $ - ;;0,00%;1,53%; $ 13.981.390 ;1,53%; $ 13.981.390 ;0,00%;1,53%;1,53%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INTERVENTORÍA COMUNAS 2 Y 4;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-263;;Interventoría;En ejecución;04/09/2024;165;;;165;15/02/2025;75,00; $ 713.650.557 ;;; $ 713.650.557 ;;;; $ 713.650.557 ; $ 100.440.784 ;;;; $ 100.440.784 ;;14,07%;14,07%; $ 100.410.633 ;14,07%; $ 100.410.633 ;0,00%;14,07%;14,07%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESSA MEDINA CÓRDOBA;
12 INSTITUCIONES EDUCATIVAS COMUNAS 5 Y 7;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Interventoría;2024;3306-264;;Interventoría;En ejecución;30/08/2024;135;;;135;11/01/2025;40,00; $ 557.673.836 ;;; $ 557.673.836 ;;;; $ 557.673.836 ;;;;; $ - ;;0,00%;41,48%; $ 231.323.107 ;41,48%; $ 231.323.107 ;0,00%;41,48%;41,48%;0,00%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INTERVENTORÍA DEL IP32 COMUNA 16 - GRUPO 2 (AIM);ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3306-308;16 BELÉN;Interventoría;En ejecución;15/10/2024;165;;;165;28/03/2025;116,00; $ 502.928.074 ;;; $ 502.928.074 ;;;; $ 502.928.074 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
INSTITUCION EDUCATIVA REPUBLICA DE VENEZUELA;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 390.686.598 ;;; $ 390.686.598 ;; $ 5.485.113 ; $ 5.485.113 ; $ 401.656.825 ;;;;; $ - ;;0,00%;3,00%; $ 12.049.705 ;0,00%; $ - ;-3,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
INSTITUCION EDUCATIVA FATIMA NUTIBARA;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 855.475.146 ;;; $ 855.475.146 ;; $ 12.341.947 ; $ 12.341.947 ; $ 880.159.040 ;;;;; $ - ;;0,00%;5,00%; $ 44.007.952 ;6,00%; $ 52.809.542 ;1,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
INSTITUCION EDUCATIVA OCTAVIO HARRY - JACQUELINE KENNEDY;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 454.356.588 ;;; $ 454.356.588 ;; $ 6.408.846 ; $ 6.408.846 ; $ 467.174.280 ;;;;; $ - ;;0,00%;7,00%; $ 32.702.200 ;4,00%; $ 18.686.971 ;-3,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
SECCION JARDIN INFANTIL NO.1;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 675.437.264 ;;; $ 675.437.264 ;; $ 9.670.908 ; $ 9.670.908 ; $ 694.779.080 ;;;;; $ - ;;0,00%;4,00%; $ 27.791.163 ;0,00%; $ - ;-4,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
SECCION ESCUELA MUNICIPAL BELEN;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 367.289.724 ;;; $ 367.289.724 ;; $ 5.137.998 ; $ 5.137.998 ; $ 377.565.720 ;;;;; $ - ;;0,00%;7,00%; $ 26.429.600 ;4,00%; $ 15.102.629 ;-3,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
INSTITUCION EDUCATIVA PEDRO OCTAVIO AMADO;ALCALDÍA;4600095806;Educación - Vigencias futuras;Generales;2024;3302-373;16 BELÉN;Obra;En ejecución;15/10/2024;150;;;150;13/03/2025;101,00; $ 787.079.650 ;;; $ 787.079.650 ;; $ 11.327.232 ; $ 11.327.232 ; $ 809.734.115 ;;;;; $ - ;;0,00%;4,00%; $ 32.389.365 ;0,00%; $ - ;-4,00%;;;0,00%;ELIANA GÓMEZ ORREGO;ANGÉLICA MARÍA CORRALES;
CONSTRUCCIÓN DE OBRAS PROVISIONALES DE DRENAJE EN LA ESCOMBRERA ;ALCALDÍA;101299;Secretaría de paz;Construccion de obras provisionales de Drenaje en la Escombrera;2024;3302-344;13 SAN JAVIER;Obra;En ejecución;20/09/2024;150;;;150;16/02/2025;76,00; $ 338.007.918 ;;; $ 338.007.918 ;;;; $ 338.007.918 ;;;;; $ - ;;0,00%;2,87%; $ 9.700.827 ;5,86%; $ 19.807.264 ;2,99%;0,01%;0,01%;0,00%;CARLOS MAURICIO SUAREZ MULETT;MARÍA DEL PILAR VILLA DELGADO;
INTERVENTORIA INTEGRAL PARA CONSTRUCCIÓN DE OBRAS PROVISIONALES DE DRENAJE PARA CONTROL DE NIVEL FREÁTICO EN EL POLIGONO LA ESCOMBRERA (COMUNA 13) DEL DISTRITO ESPECIAL DE CIENCIA TECNOLOGÍA E INNOVACIÓN DE MEDELLÍN;ALCALDÍA;101299;Secretaría de paz;Interventoría;2024;3302-350;13 SAN JAVIER;Interventoría;En ejecución;20/09/2024;150;;;150;16/02/2025;76,00; $ 70.767.885 ;;; $ 70.767.885 ;;;; $ 70.767.885 ;;;;; $ - ;;0,00%;27,33%; $ 19.340.863 ;27,33%; $ 19.340.863 ;0,00%;45,84%;45,84%;0,00%;CARLOS MAURICIO SUAREZ MULETT;MARÍA DEL PILAR VILLA DELGADO;
PARADEROS;ALCALDÍA;100673;;;2024;3312-01;;Obra;En ejecución;27/10/2024;66;;;66;31/12/2024;29,00; $ 1.951.957.933 ;;; $ 1.951.957.933 ;;;; $ 1.951.957.933 ;;;;; $ - ;;0,00%;51,00%; $ 995.498.546 ;58,00%; $ 1.132.135.601 ;7,00%;17,92%;35,02%;17,10%;MÓNICA VÉLEZ;DIANA MARCELA MARTINEZ GOMEZ;
INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;02 SANTA CRUZ;Obra;En ejecución;09/10/2024;90;60;;150;07/03/2025;95,00; $ 768.681.032 ;;; $ 768.681.032 ; $ 28.085.071 ; $ 10.801.950 ; $ 11.349.653 ; $ 818.917.706 ; $ - ;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;
INSTITUCIÓN EDUCATIVA JAVIERA LONDOÑO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;010 LA CANDELARIA;Obra;En ejecución;09/10/2024;84;;;84;31/12/2024;29,00; $ 871.836.232 ;;; $ 871.836.232 ;; $ 12.127.297 ; $ 12.127.297 ; $ 896.090.826 ;;;;; $ - ;;0,00%;44,00%; $ 394.279.963 ;49,00%; $ 439.084.505 ;5,00%;44,00%;44,00%;0,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;
I.E MANUELA BELTRAN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-365;03 MANRIQUE;Obra;En ejecución;16/10/2024;120;;;;;; $ 587.467.577 ;;; $ 587.467.577 ;;;;;;;;;;;;; $ - ;; $ - ;;;;;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
S.E BALDOMERO SANIN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-365;03 MANRIQUE;Obra;En ejecución;16/10/2024;60;;;60;14/12/2024;12,00; $ 204.422.072 ;;; $ 204.422.072 ;;;; $ 204.422.072 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
S.E SANTA BERNARDITA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-365;03 MANRIQUE;Obra;En ejecución;16/10/2024;90;;;90;13/01/2025;42,00; $ 423.190.193 ;;; $ 423.190.193 ;;;; $ 423.190.193 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
S.E SAN LORENZO ABURRA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-365;03 MANRIQUE;Obra;En ejecución;16/10/2024;90;;;90;13/01/2025;42,00; $ 480.396.312 ;;; $ 480.396.312 ;;;; $ 480.396.312 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
I.E SAN JUAN BAUTISTA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-365;03 MANRIQUE;Obra;En ejecución;16/10/2024;120;;;120;12/02/2025;72,00; $ 864.271.376 ;;; $ 864.271.376 ;;;; $ 864.271.376 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
CENTRO EDUCATIVO EL CERRO;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
CENTRO EDUCATIVO EL PLAN;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
CENTRO EDUCATIVO JUAN ANDRES PATIÑO;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
INSTITUCION EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA -CEFA;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
SECCION ESCUELA ANTONIA SANTOS;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
SECCION ESCUELA LUIS ALFONSO AGUDELO;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
SECCION ESCUELA RURAL SANTA ELENA;;;;;2024;3302-374;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;;;
INTERVENTORIA COMUNA 3 GRUPO 2 ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-339;03 MANRIQUE;Interventoría;En ejecución;16/10/2024;135;;;135;27/02/2025;87,00; $ 356.768.236 ;;; $ 356.768.236 ;;;; $ 356.768.236 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;DAVID HUMBERTO OCAMPO;
INSTITUCION EDUCATIVA FELIX DE BEDOUT MORENO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
INSTITUCION EDUCATIVA JOSE ASUNCION SILVA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
INSTITUCION EDUCATIVA TRICENTENARIO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
SECCION ESCUELA LA UNION;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
SECCION ESCUELA MUNICIPAL KENNEDY;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
SECCION ESCUELA SOR JUANA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
SECCION ESCUELA TOSCANA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-370;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;;
INSTITUCION EDUCATIVA CIUDADELA LAS AMERICAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-389;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JORGE ANDRÉS OSORIO AGUILAR;
SECCION ESCUELA EL PEDREGAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-389;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JORGE ANDRÉS OSORIO AGUILAR;
SECCION ESCUELA LEON DE GREIFF;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-389;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JORGE ANDRÉS OSORIO AGUILAR;
SECCION ESCUELA SAN MARTIN DE PORRES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-389;;Obra;;;;;;0;;;;;; $ - ;;;; $ - ;;;;;0;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JORGE ANDRÉS OSORIO AGUILAR;
